,State,Gender,Specialty
5328,CA,M,Physician Assistant
5329,NY,M,Family Practice
5330,LA,F,Orthopedic Surgery
5331,CT,M,Dentist
5332,FL,M,Neurology
5333,OH,F,Emergency Medicine
5334,OH,M,Emergency Medicine
5335,AR,M,Diagnostic Radiology
5336,FL,F,Nurse Practitioner
5337,CA,F,Nephrology
5338,AZ,F,Nurse Practitioner
5339,IL,M,Orthopedic Surgery
5340,CO,F,Physician Assistant
5341,OH,M,Orthopedic Surgery
5342,CA,M,Family Practice
5343,AZ,M,Oral Surgery (dentists only)
5344,IN,M,Emergency Medicine
5345,OR,F,Family Practice
5346,PA,F,Family Practice
5347,TX,M,Family Practice
5348,MA,M,Internal Medicine
5349,OH,M,Orthopedic Surgery
5350,VA,M,Neurology
5351,IA,M,Family Practice
5352,MO,F,Nurse Practitioner
5353,WA,M,Anesthesiology
5354,FL,M,Ophthalmology
5355,UT,F,Urology
5356,SD,M,Gynecological/Oncology
5357,TN,M,Ophthalmology
5358,FL,F,Obstetrics/Gynecology
5359,OH,M,Dentist
5360,ME,M,General Practice
5361,OK,F,Physician Assistant
5362,OR,M,Gastroenterology
5363,CA,F,Pediatric Medicine
5364,NC,M,Nurse Practitioner
5365,AL,M,Internal Medicine
5366,MD,M,Dentist
5367,IN,F,Neurology
5368,CT,F,Student in an Organized Health Care Education/Training Program
5369,WA,M,Emergency Medicine
5370,KY,F,Cardiology
5371,CA,M,Dentist
5372,OR,F,Family Practice
5373,NC,M,Emergency Medicine
5374,SC,M,Emergency Medicine
5375,NJ,M,Cardiology
5376,WA,M,Optometry
5377,TX,F,Nurse Practitioner
5378,IN,F,Family Practice
5379,MN,M,Hand Surgery
5380,CA,M,Dermatology
5381,IN,F,Dentist
5382,CA,M,Urology
5383,GA,F,Internal Medicine
5384,NY,M,Gastroenterology
5385,NY,F,Ophthalmology
5386,TX,M,Student in an Organized Health Care Education/Training Program
5387,GA,F,Obstetrics/Gynecology
5388,MD,M,Internal Medicine
5389,FL,F,Internal Medicine
5390,PA,F,Physician Assistant
5391,TN,F,Nurse Practitioner
5392,IA,M,Anesthesiology
5393,OR,M,Urology
5394,CA,F,Physician Assistant
5395,ME,F,Family Practice
5396,OR,F,Physician Assistant
5397,MI,M,Cardiology
5398,TX,M,Psychiatry
5399,NM,F,Nurse Practitioner
5400,FL,F,Otolaryngology
5401,CA,M,Surgical Oncology
5402,FL,F,General Practice
5403,VA,F,Hospice and Palliative Care
5404,TX,F,Nurse Practitioner
5405,LA,F,Obstetrics/Gynecology
5406,VA,M,Physician Assistant
5407,MO,M,Internal Medicine
5408,PR,M,General Practice
5409,DE,M,Cardiology
5410,OR,M,Emergency Medicine
5411,NE,M,Physician Assistant
5412,MN,M,Internal Medicine
5413,AZ,M,Dentist
5414,OH,M,Anesthesiology
5415,AZ,F,Physician Assistant
5416,FL,M,Family Practice
5417,AL,M,Family Practice
5418,CA,F,Nephrology
5419,CA,M,Plastic and Reconstructive Surgery
5420,OH,M,Family Practice
5421,CA,M,Dermatology
5422,PA,M,Family Practice
5423,MD,F,Podiatry
5424,PA,F,Internal Medicine
5425,NY,M,Family Practice
5426,MD,M,Internal Medicine
5427,CA,F,Nurse Practitioner
5428,FL,M,Urology
5429,NC,M,Emergency Medicine
5430,CT,M,Diagnostic Radiology
5431,TN,F,Nurse Practitioner
5432,TN,M,Internal Medicine
5433,MO,F,Emergency Medicine
5434,OH,F,Internal Medicine
5435,IN,M,Emergency Medicine
5436,AZ,F,Nurse Practitioner
5437,AZ,M,Family Practice
5438,IL,M,Nephrology
5439,AZ,M,Dentist
5440,MD,F,Internal Medicine
5441,NY,M,Psychiatry & Neurology
5442,MA,M,Dentist
5443,CA,M,Obstetrics/Gynecology
5444,CA,F,Dentist
5445,CA,M,Family Practice
5446,NY,F,Nurse Practitioner
5447,NY,F,Nurse Practitioner
5448,TX,M,Maxillofacial Surgery
5449,AZ,M,Internal Medicine
5450,MI,M,Student in an Organized Health Care Education/Training Program
5451,NY,M,Obstetrics/Gynecology
5452,CT,F,Nurse Practitioner
5453,PA,F,Physician Assistant
5454,ND,M,Nephrology
5455,KY,M,Optometry
5456,CA,M,Gastroenterology
5457,CA,F,Family Practice
5458,MO,M,Internal Medicine
5459,AZ,M,Internal Medicine
5460,IL,M,Dentist
5461,WV,M,Optometry
5462,TN,F,Family Practice
5463,TX,M,Urology
5464,IN,F,Family Practice
5465,TX,F,Optometry
5466,UT,F,Physician Assistant
5467,CT,F,Physician Assistant
5468,TN,F,Internal Medicine
5469,NJ,M,Oral Surgery (dentists only)
5470,CO,M,Physician Assistant
5471,NC,F,Dentist
5472,WA,F,Infectious Disease
5473,PA,M,Neurology
5474,CA,M,Psychiatry & Neurology
5475,PA,M,Pulmonary Disease
5476,FL,M,Physician Assistant
5477,VA,M,Emergency Medicine
5478,PA,F,Dentist
5479,NY,M,Family Practice
5480,NY,M,Physical Medicine and Rehabilitation
5481,WI,F,Nurse Practitioner
5482,CO,F,Nurse Practitioner
5483,OK,F,Nurse Practitioner
5484,NC,F,Student in an Organized Health Care Education/Training Program
5485,VA,M,General Surgery
5486,WI,M,Optometry
5487,NY,M,Gastroenterology
5488,PA,M,Psychiatry
5489,FL,M,Physical Medicine and Rehabilitation
5490,CA,M,Dentist
5491,CA,F,Nurse Practitioner
5492,NY,M,Nephrology
5493,NY,F,Physician Assistant
5494,CA,M,Psychiatry
5495,TX,M,Family Practice
5496,IL,M,Dentist
5497,LA,M,Cardiology
5498,CA,M,Internal Medicine
5499,MD,F,Optometry
5500,MO,M,Emergency Medicine
5501,FL,F,Physician Assistant
5502,WI,M,Psychiatry
5503,AZ,M,Gastroenterology
5504,TN,M,Dentist
5505,KY,F,Nurse Practitioner
5506,DC,F,Cardiology
5507,TX,M,Dentist
5508,GA,M,Orthopedic Surgery
5509,IN,M,Podiatry
5510,OH,M,Orthopedic Surgery
5511,OH,M,Family Practice
5512,IL,F,Physician Assistant
5513,FL,M,Emergency Medicine
5514,TX,M,Dentist
5515,MA,F,Internal Medicine
5516,FL,M,Anesthesiology
5517,CA,M,Internal Medicine
5518,CA,M,Dentist
5519,MO,M,General Surgery
5520,TN,M,Internal Medicine
5521,OH,M,Orthopedic Surgery
5522,NY,F,Psychiatry
5523,FL,F,Student in an Organized Health Care Education/Training Program
5524,NY,F,Physical Medicine and Rehabilitation
5525,SC,M,Internal Medicine
5526,CA,M,Internal Medicine
5527,AZ,F,Physician Assistant
5528,MI,F,Dentist
5529,OH,M,Dentist
5530,WI,F,Student in an Organized Health Care Education/Training Program
5531,FL,M,Neurology
5532,CA,F,Dermatology
5533,IL,M,Internal Medicine
5534,TX,F,Nurse Practitioner
5535,MI,M,Dentist
5536,UT,M,Orthopedic Surgery
5537,TX,M,Family Practice
5538,WI,F,Family Practice
5539,PA,F,Endocrinology
5540,CA,F,General Practice
5541,TN,M,Nephrology
5542,MA,M,Rheumatology
5543,TN,M,Physician Assistant
5544,PA,M,Internal Medicine
5545,PA,M,Hematology/Oncology
5546,PA,M,General Surgery
5547,UT,F,Registered Nurse
5548,NC,F,Internal Medicine
5549,CT,M,Dentist
5550,MI,F,Optometry
5551,NY,M,Dermatology
5552,FL,F,Gastroenterology
5553,NY,M,Orthopedic Surgery
5554,CO,F,Psychiatry & Neurology
5555,PA,F,Physician Assistant
5556,NC,M,Orthopedic Surgery
5557,GA,M,Internal Medicine
5558,MN,F,Family Practice
5559,FL,F,Internal Medicine
5560,VA,M,Family Practice
5561,AK,M,Family Practice
5562,OH,F,Hematology/Oncology
5563,MO,M,Internal Medicine
5564,PA,M,Physician Assistant
5565,RI,M,Optometry
5566,PA,F,Nephrology
5567,TX,F,Optometry
5568,PA,M,Cardiology
5569,UT,M,Dentist
5570,HI,F,Nurse Practitioner
5571,FL,M,Gastroenterology
5572,CA,M,Dentist
5573,UT,M,Urology
5574,FL,M,Dentist
5575,OK,M,Optometry
5576,TN,M,Family Practice
5577,NV,M,Dentist
5578,PA,M,Nephrology
5579,NY,F,Internal Medicine
5580,FL,F,Student in an Organized Health Care Education/Training Program
5581,WI,F,Family Practice
5582,KY,F,Internal Medicine
5583,VA,F,Nurse Practitioner
5584,MI,M,Emergency Medicine
5585,OH,F,Nurse Practitioner
5586,MI,M,Dentist
5587,UT,M,Legal Medicine
5588,KY,M,Neurology
5589,WI,M,Student in an Organized Health Care Education/Training Program
5590,AL,M,Urology
5591,MN,M,Internal Medicine
5592,PA,M,Dentist
5593,NY,M,Internal Medicine
5594,IL,M,Anesthesiology
5595,FL,F,Nurse Practitioner
5596,WI,M,Family Practice
5597,NM,M,Family Practice
5598,OH,F,Dentist
5599,FL,F,Nurse Practitioner
5600,LA,M,Dentist
5601,PA,M,Family Practice
5602,IL,F,Obstetrics/Gynecology
5603,FL,F,Nurse Practitioner
5604,OR,F,Obstetrics/Gynecology
5605,OH,F,Family Practice
5606,IN,M,Family Practice
5607,FL,M,Student in an Organized Health Care Education/Training Program
5608,AZ,M,Physician Assistant
5609,OK,F,Internal Medicine
5610,IN,M,Ophthalmology
5611,FL,F,Dentist
5612,OR,M,Podiatry
5613,FL,F,Nurse Practitioner
5614,MI,M,Dermatology
5615,NC,M,Hematology/Oncology
5616,FL,M,Infectious Disease
5617,WA,F,Dentist
5618,MN,M,Student in an Organized Health Care Education/Training Program
5619,MA,F,Optometry
5620,GA,M,Internal Medicine
5621,WV,M,Dermatology
5622,MD,F,Obstetrics/Gynecology
5623,OH,M,Optometry
5624,CA,M,Dermatology
5625,CT,M,Cardiology
5626,TX,F,Psychiatry
5627,FL,M,Physical Medicine and Rehabilitation
5628,GA,M,Internal Medicine
5629,MN,F,Nurse Practitioner
5630,AR,F,Nurse Practitioner
5631,NY,M,Cardiology
5632,NJ,M,Internal Medicine
5633,NY,M,Dentist
5634,PA,F,Internal Medicine
5635,WA,M,Internal Medicine
5636,IL,M,Family Practice
5637,NC,M,Family Practice
5638,CA,M,Otolaryngology
5639,OH,M,General Surgery
5640,OR,M,Internal Medicine
5641,TN,M,Neurology
5642,PA,F,Family Practice
5643,IN,F,Physician Assistant
5644,CA,M,Dentist
5645,FL,M,Internal Medicine
5646,NY,F,Nurse Practitioner
5647,OH,F,Family Practice
5648,GA,M,Urology
5649,NJ,F,Family Practice
5650,CO,M,Optometry
5651,NY,M,Student in an Organized Health Care Education/Training Program
5652,GA,M,Family Practice
5653,WA,M,Emergency Medicine
5654,CA,M,Family Practice
5655,MA,M,Psychiatry & Neurology
5656,TN,M,Internal Medicine
5657,IN,M,Dentist
5658,AZ,M,Surgery
5659,NC,F,Physician Assistant
5660,PA,M,Anesthesiology
5661,NY,M,Cardiology
5662,NY,F,Nurse Practitioner
5663,WA,F,Pharmacist
5664,CT,M,Urology
5665,WV,F,Physician Assistant
5666,KY,F,Nurse Practitioner
5667,NC,M,Internal Medicine
5668,MN,F,Pulmonary Disease
5669,TX,M,Emergency Medicine
5670,TN,M,Dentist
5671,SD,F,Physician Assistant
5672,OK,F,Nurse Practitioner
5673,NY,M,Orthopaedic Surgery
5674,NC,F,Family Practice
5675,NY,F,Dermatology
5676,IL,M,Family Practice
5677,TX,F,Psychiatry & Neurology
5678,MA,F,Internal Medicine
5679,MA,M,Nurse Practitioner
5680,FL,M,Nephrology
5681,GA,M,Internal Medicine
5682,TX,F,Family Practice
5683,IL,F,Rheumatology
5684,OK,M,Pulmonary Disease
5685,SC,M,Dentist
5686,CA,M,Podiatry
5687,MI,M,Cardiology
5688,MO,M,Gastroenterology
5689,SD,M,Family Practice
5690,TX,M,Oral Surgery (dentists only)
5691,PR,F,Hospitalist
5692,NY,M,Internal Medicine
5693,MD,F,Ophthalmology
5694,PA,M,Emergency Medicine
5695,SC,F,Emergency Medicine
5696,OH,M,Neurosurgery
5697,CA,M,General Practice
5698,NC,M,Internal Medicine
5699,CA,F,Nurse Practitioner
5700,AR,F,Nurse Practitioner
5701,KS,M,Vascular Surgery
5702,IN,F,Nurse Practitioner
5703,MO,M,Internal Medicine
5704,CA,F,Ophthalmology
5705,TX,F,Internal Medicine
5706,FL,F,Dentist
5707,NY,F,Internal Medicine
5708,WV,M,Psychiatry
5709,WA,M,Family Practice
5710,TX,F,Internal Medicine
5711,NY,F,Optometry
5712,MI,M,Emergency Medicine
5713,NY,M,Dentist
5714,CA,M,Dentist
5715,TN,F,Urology
5716,SC,F,Internal Medicine
5717,TX,F,Nurse Practitioner
5718,MD,F,Emergency Medicine
5719,WA,M,Dentist
5720,TX,F,Surgical Oncology
5721,NC,M,Family Practice
5722,CA,M,Cardiology
5723,CA,F,Psychiatry
5724,CA,F,Physician Assistant
5725,CA,F,Physician Assistant
5726,NY,M,Psychiatry
5727,UT,M,Dentist
5728,ME,F,Nurse Practitioner
5729,NC,M,Internal Medicine
5730,FL,M,Emergency Medicine
5731,CA,M,Internal Medicine
5732,SC,M,Family Practice
5733,PA,M,Orthopedic Surgery
5734,IA,F,Emergency Medicine
5735,NJ,M,Internal Medicine
5736,OH,F,Physician Assistant
5737,OK,F,Certified Clinical Nurse Specialist
5738,AL,F,Nurse Practitioner
5739,TX,M,Gastroenterology
5740,TN,M,Family Practice
5741,GA,M,Dentist
5742,IN,M,Family Practice
5743,CT,M,Orthopedic Surgery
5744,OH,M,Family Practice
5745,NY,M,Nephrology
5746,MO,M,Ophthalmology
5747,TX,F,Family Practice
5748,FL,F,"Neuromusculoskeletal Medicine, Sports Medicine"
5749,LA,M,Dentist
5750,TX,F,Physician Assistant
5751,TX,M,Cardiology
5752,CA,M,Cardiology
5753,CA,F,Dentist
5754,HI,F,General Surgery
5755,WA,F,Pharmacist
5756,NY,M,Student in an Organized Health Care Education/Training Program
5757,OH,F,Obstetrics/Gynecology
5758,LA,M,Ophthalmology
5759,OR,M,Dentist
5760,OH,F,Dentist
5761,CA,F,Urology
5762,NC,M,Maxillofacial Surgery
5763,FL,M,Emergency Medicine
5764,PA,F,Internal Medicine
5765,MN,F,Nurse Practitioner
5766,IN,F,Plastic and Reconstructive Surgery
5767,OH,M,Physical Medicine and Rehabilitation
5768,ND,F,Internal Medicine
5769,NM,M,Dentist
5770,GA,M,Internal Medicine
5771,CT,M,Gastroenterology
5772,NC,M,Medical Oncology
5773,VA,M,Optometry
5774,MA,F,Anesthesiology
5775,IL,M,Optometry
5776,GA,F,Family Practice
5777,IL,F,Family Practice
5778,MO,M,General Surgery
5779,VA,M,Internal Medicine
5780,CA,M,Dentist
5781,WA,M,Emergency Medicine
5782,CO,M,Dentist
5783,ND,M,Hematology/Oncology
5784,CA,M,Pediatric Medicine
5785,PR,F,Dentist
5786,WI,F,Nurse Practitioner
5787,PA,M,Neuropsychiatry
5788,AL,M,Psychiatry
5789,IA,M,Physician Assistant
5790,CA,M,Emergency Medicine
5791,GA,M,Emergency Medicine
5792,ME,F,Nurse Practitioner
5793,MO,M,Dentist
5794,GA,F,Urology
5795,CA,M,Internal Medicine
5796,NY,M,Physician Assistant
5797,OH,F,Nurse Practitioner
5798,MN,M,Family Practice
5799,PR,M,General Practice
5800,IL,M,Orthopedic Surgery
5801,GA,M,Dentist
5802,CO,M,Rheumatology
5803,ID,F,Nurse Practitioner
5804,PA,F,Family Practice
5805,TN,F,Dentist
5806,MI,M,Dentist
5807,TX,M,Physician Assistant
5808,CA,M,Psychiatry
5809,GA,M,Emergency Medicine
5810,MA,F,Rheumatology
5811,MI,M,Internal Medicine
5812,NE,F,Nurse Practitioner
5813,FL,M,Internal Medicine
5814,TX,M,Obstetrics/Gynecology
5815,IA,F,Neurology
5816,TN,M,Dentist
5817,PA,M,General Surgery
5818,MA,F,Ophthalmology
5819,OK,F,Rheumatology
5820,TX,M,Cardiology
5821,PA,M,Internal Medicine
5822,TX,M,Internal Medicine
5823,SC,M,Otolaryngology
5824,NY,F,Psychiatry
5825,SC,M,Internal Medicine
5826,AR,F,Family Practice
5827,OH,M,Family Practice
5828,MI,M,Emergency Medicine
5829,MI,F,Internal Medicine
5830,TX,M,Internal Medicine
5831,NY,M,Podiatry
5832,CA,F,Psychiatry
5833,NV,F,Nurse Practitioner
5834,KS,F,Family Practice
5835,WI,M,Dentist
5836,PA,F,Emergency Medicine
5837,KY,F,Family Practice
5838,NY,M,Internal Medicine
5839,FL,M,Family Practice
5840,WI,F,Student in an Organized Health Care Education/Training Program
5841,GU,M,Family Practice
5842,TX,M,Oral Surgery (dentists only)
5843,MI,M,Neurology
5844,TX,F,Family Practice
5845,VA,F,Family Practice
5846,NV,F,Family Practice
5847,CA,M,General Surgery
5848,MI,F,Dentist
5849,FL,M,General Practice
5850,FL,M,Pulmonary Disease
5851,OR,F,Physician Assistant
5852,AR,M,Family Practice
5853,PR,M,Psychiatry
5854,AK,M,Psychiatry
5855,AR,F,Obstetrics/Gynecology
5856,CA,F,Nurse Practitioner
5857,MA,M,Dentist
5858,MN,F,Nurse Practitioner
5859,AR,F,Student in an Organized Health Care Education/Training Program
5860,IN,M,Internal Medicine
5861,NJ,M,Cardiology
5862,CO,F,Nurse Practitioner
5863,AR,M,Urology
5864,MI,M,Urology
5865,NY,F,Interventional Pain Management
5866,WV,F,Podiatry
5867,MO,M,Dentist
5868,CO,M,Rheumatology
5869,OH,M,Student in an Organized Health Care Education/Training Program
5870,KY,F,Emergency Medicine
5871,PR,M,Internal Medicine
5872,NY,M,Emergency Medicine
5873,NY,M,Dentist
5874,TX,M,Family Practice
5875,NY,F,Dentist
5876,MI,F,Emergency Medicine
5877,UT,F,Physician Assistant
5878,WA,F,Family Practice
5879,VA,M,Internal Medicine
5880,WA,F,Nurse Practitioner
5881,NY,M,Orthopedic Surgery
5882,TX,M,Dentist
5883,MN,M,General Surgery
5884,GA,M,Radiation Oncology
5885,IL,M,Plastic Surgery
5886,LA,M,Internal Medicine
5887,AK,F,Physician Assistant
5888,GA,M,Dentist
5889,FL,F,Nurse Practitioner
5890,NY,M,Anesthesiology
5891,NY,M,Geriatric Medicine
5892,NY,M,Gastroenterology
5893,TN,M,Internal Medicine
5894,PA,F,Nurse Practitioner
5895,WI,F,Internal Medicine
5896,VA,M,Family Practice
5897,VA,F,Dentist
5898,IN,M,Dentist
5899,PA,F,Emergency Medicine
5900,WA,M,Family Practice
5901,IN,M,Dentist
5902,IL,M,Anesthesiology
5903,FL,F,Physician Assistant
5904,GA,M,Allergy/Immunology
5905,FL,M,Nurse Practitioner
5906,MI,M,Internal Medicine
5907,VA,M,Ophthalmology
5908,MI,M,Urology
5909,IL,F,Family Practice
5910,OR,F,Nurse Practitioner
5911,TX,M,Neurology
5912,IL,M,Otolaryngology
5913,OH,M,Family Practice
5914,NY,M,Internal Medicine
5915,AZ,M,Hand Surgery
5916,PA,F,Dentist
5917,FL,F,Nurse Practitioner
5918,OK,M,Emergency Medicine
5919,MD,M,Internal Medicine
5920,NJ,M,Neurology
5921,NY,F,Rheumatology
5922,IN,F,Nurse Practitioner
5923,FL,M,Optometry
5924,MT,M,Emergency Medicine
5925,PA,F,Nurse Practitioner
5926,IL,M,Cardiology
5927,NC,M,Internal Medicine
5928,VA,M,Hematology
5929,OK,F,Psychiatry
5930,NY,M,Internal Medicine
5931,CA,M,Dermatology
5932,CA,M,Physical Medicine and Rehabilitation
5933,NJ,M,Pediatric Medicine
5934,TX,F,Rheumatology
5935,NC,F,Internal Medicine
5936,MO,F,Nurse Practitioner
5937,MS,F,Nurse Practitioner
5938,OH,M,Physician Assistant
5939,WI,M,Internal Medicine
5940,OH,F,Physical Medicine and Rehabilitation
5941,MS,F,Dentist
5942,NH,F,Nurse Practitioner
5943,AZ,F,Family Practice
5944,CO,M,Otolaryngology
5945,NY,M,Podiatry
5946,PA,M,Podiatry
5947,NY,M,Otolaryngology
5948,MD,M,Internal Medicine
5949,MI,F,Physician Assistant
5950,NJ,M,Pharmacist
5951,GA,M,Dentist
5952,CA,M,Cardiology
5953,NY,M,Cardiac Electrophysiology
5954,CA,F,Physician Assistant
5955,WA,M,Dermatology
5956,WI,F,Rheumatology
5957,OR,M,Orthopedic Surgery
5958,NC,M,Obstetrics/Gynecology
5959,OH,M,Ophthalmology
5960,MN,F,Nurse Practitioner
5961,OH,M,Student in an Organized Health Care Education/Training Program
5962,CA,F,Family Practice
5963,NY,F,Nurse Practitioner
5964,MS,M,Pain Management
5965,AZ,F,Pain Management
5966,UT,M,Physician Assistant
5967,OR,M,Dentist
5968,IL,M,Internal Medicine
5969,IL,M,Gastroenterology
5970,VA,F,Internal Medicine
5971,NH,F,Nurse Practitioner
5972,GA,M,Dentist
5973,OR,M,Psychiatry
5974,CA,F,Registered Nurse
5975,TN,F,Obstetrics/Gynecology
5976,IN,F,Podiatry
5977,OK,F,Nurse Practitioner
5978,OH,M,Dentist
5979,TX,M,Nurse Practitioner
5980,FL,M,Gastroenterology
5981,AZ,M,Family Practice
5982,NC,M,Dentist
5983,NC,M,Family Practice
5984,WV,M,Dentist
5985,WI,M,General Surgery
5986,AZ,F,Neuropsychiatry
5987,NY,M,Emergency Medicine
5988,FL,M,Psychiatry
5989,KS,F,Nurse Practitioner
5990,AL,M,Student in an Organized Health Care Education/Training Program
5991,NJ,M,Orthopedic Surgery
5992,MI,M,Ophthalmology
5993,FL,M,Physician Assistant
5994,WA,M,Psychiatry
5995,OH,M,Physical Medicine and Rehabilitation
5996,TN,F,Nurse Practitioner
5997,CA,F,Physician Assistant
5998,OH,M,General Surgery
5999,CA,M,Psychiatry & Neurology
6000,FL,M,Psychiatry
6001,NY,M,Orthopedic Surgery
6002,NY,M,Psychiatry
6003,TX,M,Optometry
6004,LA,M,Family Practice
6005,CA,F,Internal Medicine
6006,NJ,M,Colorectal Surgery (formerly proctology)
6007,WA,M,Podiatry
6008,FL,M,Dermatology
6009,CA,M,Psychiatry
6010,MA,M,General Practice
6011,TN,F,Nurse Practitioner
6012,CA,F,Nurse Practitioner
6013,CT,F,Nurse Practitioner
6014,TX,F,Internal Medicine
6015,FL,F,General Practice
6016,NY,F,Optometry
6017,VA,F,Family Practice
6018,TX,F,Student in an Organized Health Care Education/Training Program
6019,TX,M,Pediatric Medicine
6020,KY,M,Cardiac Surgery
6021,PA,M,Dentist
6022,NY,F,Nurse Practitioner
6023,DE,F,Student in an Organized Health Care Education/Training Program
6024,RI,M,Dentist
6025,TX,F,Obstetrics/Gynecology
6026,WA,M,Emergency Medicine
6027,VA,F,Physical Medicine and Rehabilitation
6028,FL,M,Internal Medicine
6029,LA,M,Family Practice
6030,IL,M,General Surgery
6031,CA,M,Dentist
6032,WI,M,Ophthalmology
6033,NY,M,Family Practice
6034,OK,F,Nurse Practitioner
6035,NY,F,Internal Medicine
6036,LA,F,Emergency Medicine
6037,IN,M,Hematology/Oncology
6038,MO,M,Dentist
6039,VA,M,Internal Medicine
6040,NJ,M,Cardiology
6041,VA,M,General Practice
6042,WI,F,Nurse Practitioner
6043,NY,M,Neurology
6044,CA,F,Psychiatry & Neurology
6045,TX,F,Dentist
6046,TX,F,Neurology
6047,PR,M,Cardiology
6048,PA,M,Family Practice
6049,IN,M,Emergency Medicine
6050,CO,F,Family Practice
6051,CA,M,Nurse Practitioner
6052,CA,M,Family Practice
6053,SD,F,Psychiatry
6054,GA,M,Internal Medicine
6055,NM,F,Nurse Practitioner
6056,CA,M,Ophthalmology
6057,HI,M,Pulmonary Disease
6058,TX,F,Nurse Practitioner
6059,PA,F,Nurse Practitioner
6060,TN,M,Cardiology
6061,NJ,M,Internal Medicine
6062,TX,M,Physical Medicine and Rehabilitation
6063,CO,M,Dentist
6064,PA,F,Registered Nurse
6065,OH,M,Internal Medicine
6066,OR,M,Dentist
6067,AZ,F,Physician Assistant
6068,CA,M,Cardiology
6069,CA,F,Physician Assistant
6070,OH,M,Dentist
6071,AL,F,Nurse Practitioner
6072,VA,M,Internal Medicine
6073,NY,M,Psychiatry
6074,IL,F,Student in an Organized Health Care Education/Training Program
6075,PR,F,General Practice
6076,GA,M,General Surgery
6077,CA,M,Dentist
6078,TX,M,Hematology/Oncology
6079,FL,M,Dermatology
6080,IN,M,Psychiatry
6081,LA,M,Psychiatry
6082,AZ,F,Pulmonary Disease
6083,NE,M,Physician Assistant
6084,NE,F,Hematology/Oncology
6085,CA,F,Dentist
6086,MA,M,Psychiatry
6087,IL,M,Family Practice
6088,CT,M,Anesthesiology
6089,RI,M,Internal Medicine
6090,WI,F,Physician Assistant
6091,IL,F,Family Practice
6092,OH,M,Ophthalmology
6093,IL,M,Internal Medicine
6094,OK,F,Nurse Practitioner
6095,MI,F,Neurology
6096,WA,M,Neurosurgery
6097,MI,M,General Surgery
6098,NC,F,Dermatology
6099,MA,F,Family Practice
6100,HI,F,Endocrinology
6101,NY,M,Emergency Medicine
6102,KY,F,Nurse Practitioner
6103,CA,M,Dentist
6104,PA,F,Internal Medicine
6105,WA,F,Emergency Medicine
6106,IL,M,Cardiology
6107,MN,F,Family Practice
6108,FL,F,Family Practice
6109,OH,F,Student in an Organized Health Care Education/Training Program
6110,NY,M,Orthopedic Surgery
6111,NY,M,Dentist
6112,CO,M,Dentist
6113,TX,M,Internal Medicine
6114,MI,M,Internal Medicine
6115,CA,F,Family Practice
6116,MI,F,Emergency Medicine
6117,CA,F,Nurse Practitioner
6118,MI,M,Family Practice
6119,TX,M,Dentist
6120,WA,M,Emergency Medicine
6121,NY,F,Physician Assistant
6122,NY,F,Internal Medicine
6123,WV,F,Nurse Practitioner
6124,CA,M,Dentist
6125,NV,M,Internal Medicine
6126,NJ,M,Obstetrics/Gynecology
6127,NY,M,General Surgery
6128,LA,F,Obstetrics/Gynecology
6129,NJ,M,Family Practice
6130,NY,F,Physician Assistant
6131,CA,M,Family Practice
6132,MN,F,Podiatry
6133,RI,F,Physician Assistant
6134,NJ,F,Physician Assistant
6135,ND,M,Pulmonary Disease
6136,IL,M,Gastroenterology
6137,MT,F,Physician Assistant
6138,AZ,M,Podiatry
6139,FL,F,Physician Assistant
6140,MO,F,Dermatology
6141,MD,F,Nurse Practitioner
6142,AR,M,Dentist
6143,NJ,F,Psychiatry & Neurology
6144,WI,F,Physician Assistant
6145,OR,F,Internal Medicine
6146,MN,M,Ophthalmology
6147,PA,F,Nurse Practitioner
6148,FL,M,Internal Medicine
6149,CA,F,Nurse Practitioner
6150,CA,M,Orthopedic Surgery
6151,NC,F,General Surgery
6152,HI,M,Otolaryngology
6153,PA,F,Family Practice
6154,AR,M,Family Practice
6155,MI,F,Family Practice
6156,NH,M,Ophthalmology
6157,IL,M,Otolaryngology
6158,OH,F,Family Practice
6159,DC,F,Student in an Organized Health Care Education/Training Program
6160,MA,F,Nurse Practitioner
6161,TX,M,Dentist
6162,MO,F,Pediatric Medicine
6163,TX,M,Family Practice
6164,NY,M,Emergency Medicine
6165,CA,M,Otolaryngology
6166,ID,F,Nurse Practitioner
6167,CO,F,Nurse Practitioner
6168,VA,F,Physician Assistant
6169,TX,M,General Practice
6170,IN,F,Internal Medicine
6171,NY,F,Dentist
6172,FL,M,Otolaryngology
6173,RI,F,Nurse Practitioner
6174,OK,M,Ophthalmology
6175,MT,M,Internal Medicine
6176,MI,F,Family Practice
6177,OH,M,Dentist
6178,NJ,F,Nurse Practitioner
6179,PA,M,Critical Care (Intensivists)
6180,IL,F,Nurse Practitioner
6181,NY,M,Ophthalmology
6182,ID,M,Physician Assistant
6183,NC,M,Podiatry
6184,TX,F,Dentist
6185,GA,M,Dentist
6186,IL,M,Internal Medicine
6187,UT,F,Student in an Organized Health Care Education/Training Program
6188,GA,F,Pulmonary Disease
6189,MA,M,Psychiatry & Neurology
6190,IL,F,Physician Assistant
6191,CA,F,Psychiatry
6192,NY,M,Dentist
6193,NJ,M,Dentist
6194,PA,M,Ophthalmology
6195,MI,F,Psychiatry
6196,WI,F,Family Practice
6197,FL,M,Internal Medicine
6198,CA,M,Dentist
